批准日期,Approval Date,,,sci
生效日期,Effective Date,,,sci
版本,Version,,,sci
# ====== 机构 / 产品名(通常不翻或用官方名) ======
华大基因,BGI,官方英文名 BGI / BGI Genomics,,siro
华大智造,MGI,华大智造官方英文名 MGI,,siro
"# ====== 对照人工英文版校准(workflow提取,已审核)======",,
全因,NIFTY Pro,[人工版] 流程名,Full Cause;Full-Fact;full-factor,siro
起始台面布置,Initial Bench Setup,[人工版] 流程名,Initial tabletop arrangement,siro
提取台面布置,Extraction Bench Setup,[人工版] 流程名,,siro
建库台面布置,Library Preparation Deck Setup,[人工版] 流程名,Database table layout,siro
测序上机,Sequencing Run,[人工版] 流程名,,siro
后期清洁,Post-Run Cleaning,[人工版] 流程名,Post-cleaning,siro
前处理建库实验工序,Pre-Processing Library Preparation,[人工版] 流程名,Pre-processing library construction,siro
上机测序,Sequencing Run,[人工版] 流程名,on-line sequencing;online sequencing,siro
提取前试剂准备,Reagent Preparation Prior to Extraction,[人工版] 流程名,Preparation of reagents before Extraction,siro
建库试剂准备,Library Preparation Reagent Setup,[人工版] 流程名,,siro
设备初始化及前期清洁,GenSIRO-48 Initialization and Cleaning,[人工版] 流程名,Device initialization and preliminary cleaning,siro
前期准备,Initial Bench Setup,[人工版] 流程名,Preparations in the early stage,siro
避光分液槽,Light-protected Reagent Trough,[人工版] 耗材,light-proof liquid separation tank,siro
黑色避光试剂槽,Light-protected Reagent Trough,[人工版] 耗材,light-proof liquid separation tank,siro
可掰断8连管,Breakable 8-tube strips,[人工版] 耗材,8-tube strip;breakable 8-way connectors,siro
八联管,Breakable 8-tube strips,[人工版] 耗材,8-tube strip;breakable 8-way connectors,siro
定量管,Quantification Tube,[人工版] 耗材,quantitative tube;quantitative sample tube;standard quantitative tube,siro
定量样品管,Quantification Tube,[人工版] 耗材,quantitative tube;quantitative sample tube;standard quantitative tube,siro
标准品定量管,Quantification Tube,[人工版] 耗材,quantitative tube;quantitative sample tube;standard quantitative tube,siro
采血管,Blood Tube,[人工版] 耗材,blood collection tube;collection tube,siro
血浆最终管,terminal tube,[人工版] 耗材,final tube,siro
无尘纸,lint-free wipes,[人工版] 耗材,dust-free paper,siro
PCR胶垫,PCR gasket,[人工版] 耗材,PCR gel pads,siro
定量检测管,quantification tube,[人工版] 耗材,Quantitative Detection Tube,siro
2.2ml 96方孔尖底深孔板,2.2 mL deep-well plate,[人工版] 耗材,,siro
单孔槽和槽盖套装,Reagent Trough,[人工版] 耗材,,siro
载架,Rack,[人工版] 耗材,loading rack,siro
吸头,pipette tip,[人工版] 耗材,suction tip,siro
接头稀释,Adapter Dilution,[人工版] 试剂,connectors;joints;connector dilution;Label connectors,siro
接头,Adapter,[人工版] 试剂,connector;joint,siro
连接,Ligation,[人工版] 缓冲液,Connection,siro
清洗液1,Wash Buffer 1,[人工版] 缓冲液,Cleaning solution 1;Cleaning solution 2,siro
清洗液2,Wash Buffer 2,[人工版] 缓冲液,Cleaning solution 1;Cleaning solution 2,siro
定量标准品,Quantification Standard,[人工版] 试剂,Quantitative standard product,siro
定量染液,Quantification Dye,[人工版] 试剂,Quantitative staining solution,siro
医用酒精,medical-grade ethanol,[人工版] 试剂,medical alcohol,siro
震荡混匀,Vortex,[人工版] 试剂,shake vigorously;vortexed,siro
旋涡震荡,Vortex,[人工版] 试剂,shake vigorously;vortexed,siro
合板,task sheet,[人工版] 其它,plywood,siro
中台,Task Center,[人工版] 其它,Tai Software;centralized management model;middle and upper levels of the organization;center panel,siro
中台软件,middleware,[人工版] 其它,central platform;central control software,siro
舱门,chamber doors,[人工版] 其它,cabin doors,siro
联合实验室,Joint Lab,[人工版] 其它,joint laboratory,siro
电源开关,power switch,[人工版] 其它,,siro
视窗,viewing window,[人工版] 其它,,siro
样本待排孔,Sample Awaiting Well Assignment,[人工版] 字段,,siro
排孔,well assignment,[人工版] 字段,drilling,siro
分装,Aliquoting,[人工版] 字段,packaging;packing,siro
无水乙醇加入量,Volume of anhydrous ethanol to be added,[人工版] 字段,,siro
异丙醇加入量,Volume of isopropanol to be added,[人工版] 字段,,siro
96人份试剂,96-Sample Reagent Kit,[人工版] 字段,96 doses of reagents,siro
送检单,Request Form,[人工版] 字段,submission form,siro
质控品类型,QC Type,[人工版] 字段,type of quality control products,siro
阳性质控品,Positive Control,[人工版] 字段,,siro
阴性质控品,Negative Control,[人工版] 字段,,siro
基础版,Basic,[人工版] 字段,basic version,siro
主要成分,Description,[人工版] 字段,The main ingredients,siro
提取试剂分装表,Reagent Aliquoting for Extraction,[人工版] 字段,Extraction Reagent Packaging Table,siro
标签规则,Barcode Rule,[人工版] 字段,Label rules,siro
提取试剂准备,Reagent Preparation for Extraction,[人工版] 字段,Preparation of Extraction Reagents,siro
建库试剂盒分装表,Reagent Aliquoting for Library Preparation,[人工版] 字段,,siro
样本装量,Samples,[人工版] 字段,loading quantity;loading volume,siro
扫描表,scan records,[人工版] 字段,scanned tables;scan table,siro
质控样本,QC sample,[人工版] 字段,quality control samples,siro
投入系数,Pooling Coefficient,[人工版] 字段,,siro
投递中,Submitting,[人工版] 字段,delivering,siro
待开始,Pending Start,[人工版] 字段,,siro
标本,Sample,[人工版] 字段,Specimen,siro
样本总数大于24时放置,Required when total sample count > 24,[人工版] 标记,,siro
标准作业指导书,SOP,[人工版] 其它,standard operating procedures,siro
去宿主,Host depletion,[QC],Go to the host's place;Go to the host;For the host;go to the host,siro
洗液,Wash Buffer,[QC],Lotion;washing solution,siro
标曲,standard curve,[QC],scoreboard;marker board,siro
标准曲线,standard curve,[QC],scoreboard;marker board,siro
破壁,Cell Wall Disruption,[QC],Break through barriers;break through barriers;wall-breaking,siro
单反应用量,Volume per reaction,[QC],DSLR cameras;The usage of DSLR cameras,siro
无核酸酶水,Nuclease-free Water,[QC],Nuclear acid-free water,siro
核酸,nucleic acid,[QC],nuclear acid,siro
组织样本,Tissue sample,[QC],Organizational samples;organizational sample,siro
全血,Whole blood,[QC],Full blood,siro
结合液,Binding Buffer,[QC],Combined liquid,siro
溶解液,Resuspension Solution,[QC],dissolution solution,siro
枪头,pipette tip,[QC],gun head;gun heads,siro
提取仓,extraction chamber,[QC],Extraction warehouse;extraction warehouse,siro
分液槽,reagent trough,[QC],separating funnel;partition trough,siro
深孔板,deep-well plate,[QC],deep-hole plate;deep hole plate,siro
杂洗,Hybridization Wash,[QC],Mixed Washing;Mixed Wash,siro
人份,tests,[QC],servings,siro
建库产物,Library product,[QC],,siro
建库仓,Library Preparation chamber,[QC],database workstation;Database Storage;database storage;database setup;Database setup;pretreatment database;Pre-processing Database,siro
Make DNB,DNB (DNA Nanoball) preparation,[QC],,siro
DNB,DNB (DNA Nanoball) preparation,[QC],,siro
联合探针锚定聚合测序法,cPAS,[QC],,siro
去宿主样本,Host-depleted sample,[QC],,siro
未去宿主样本,Sample without host depletion,[QC],,siro
上机,loading onto the instrument,[QC],on the computer;using the computer;uploading to the computer;logging in;on-line;get on the machine,siro
任务中台软件,Task Center software,[QC],,siro
定标,calibration,[QC],,siro
前处理,Pre-treatment,[QC],,siro
杂交洗涤,Hybridization Wash,[QC],,siro
洗脱液,Elution Buffer,[QC],,siro
染液,Staining (Dye) Solution,[QC],,siro
标签接头,Index Adapter,[QC],,siro
酶切反应液,Enzymatic Digestion Reaction Mix,[QC],,siro
提取磁珠,Extraction Magnetic Beads,[QC],,siro
内标,internal standard,[QC],,siro
倍,×,[QC],,siro
分装量,aliquot,[QC],,siro
预分装试剂,pre-aliquoted (pre-dispensed) reagents,[QC],,siro
台面,deck,[QC],,siro
台面图,deck,[QC],,siro
板位,plate position,[QC],,siro
孔,well,[QC],,siro
孔位,well,[QC],,siro
推拉列,push-pull column,[QC],,siro
枪头盒,pipette tip,[QC],,siro
八连管,8-tube strip,[QC],,siro
可掰开八连管,8-tube strip,[QC],,siro
全裙边PCR板,full-skirted PCR plate,[QC],,siro
半裙边PCR板,full-skirted PCR plate,[QC],,siro
酶标板,microplate,[QC],,siro
恒温混匀仪,thermomixer,[QC],,siro
涡旋,vortex to mix,[QC],,siro
短暂离心,brief (quick) centrifugation,[QC],,siro
瞬时离心,brief (quick) centrifugation,[QC],,siro
吹吸混匀,mix by pipetting up and down,[QC],,siro
例,Per Sample,[QC],,siro
方案编号,protocol number,[QC],,siro
技术路线,workflow,[QC],,siro
板号,plate number,[QC],,siro
故障现象,Symptom,[QC],,siro
处理方法,Solution,[QC],,siro
现配现用,freshly prepare before use,[QC],,siro
备用,set aside ready for use,[QC],,siro
避光,protect from light,[QC],,siro
新基元,Xinjiyuan,[QC],,siro
